Player,Country,Matches,Field_Catches,Bat_Avg_T20,Strike_Rate_T20,Bowl_Avg_T20,Econ_T20,Bowl_Wkts_T20,Bat_Runs_T20,Bat_Avg_ODI,Strike_Rate_ODI,Bowl_Avg_ODI,Econ_ODI,Bowl_Wkts_ODI,Bat_Runs_ODI,Bat_Avg_Test,Strike_Rate_Test,Bowl_Avg_Test,Econ_Test,Bowl_Wkts_Test,Bat_Runs_Test,Bat_Avg_Overall,Bowl_Wkts_Overall,Avg_vs_International,Avg_vs_League,Avg_vs_Australia,Avg_vs_India,Avg_vs_England
D Vihanga,Sri Lanka,5,2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.14,22.64,5.22,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,6.0,0.0,0.0,2.5,3.0
SS Upadhyay,India,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA McBride,Ireland,12,3,0.0,0.0,25.25,6.81,8.0,0.0,2.0,100.0,9.4,3.24,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0
Eyman Fatima,Pakistan,4,2,27.0,122.73,0.0,0.0,0.0,27.0,2.0,33.33,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,14.5,0.0,0.0,0.0,0.0
PN Sproul,Scotland,4,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,42.42,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0
KJ McCartney,Ireland,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,6.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LS Simelane,Eswatini,7,0,0.0,0.0,37.67,7.88,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
OS Dlamini,Eswatini,3,0,0.5,5.88,0.0,8.13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
LM Gwebu,Eswatini,7,0,0.5,6.12,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
LN Shabalala,Eswatini,11,0,2.6,16.77,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,2.6,0.0,0.0,0.0
