Player,Country,Matches,Field_Catches,Bat_Avg_T20,Strike_Rate_T20,Bowl_Avg_T20,Econ_T20,Bowl_Wkts_T20,Bat_Runs_T20,Bat_Avg_ODI,Strike_Rate_ODI,Bowl_Avg_ODI,Econ_ODI,Bowl_Wkts_ODI,Bat_Runs_ODI,Bat_Avg_Test,Strike_Rate_Test,Bowl_Avg_Test,Econ_Test,Bowl_Wkts_Test,Bat_Runs_Test,Bat_Avg_Overall,Bowl_Wkts_Overall,Avg_vs_International,Avg_vs_League,Avg_vs_Australia,Avg_vs_India,Avg_vs_England
AJ Healy,Australia,269,155,27.41,133.15,0.0,0.0,0.0,4989.0,44.06,97.05,0.0,0.0,0.0,2732.0,29.92,58.76,0.0,0.0,0.0,359.0,31.56,0.0,36.32,25.25,0.0,28.75,27.94
M Strano,Australia,107,26,13.5,103.12,22.02,6.92,114.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,114.0,2.0,13.41,0.0,2.0,0.0
EA Perry,Australia,310,127,44.5,115.62,25.08,7.03,139.0,6542.0,45.28,78.04,27.51,4.24,37.0,1947.0,55.33,45.98,37.33,3.23,9.0,498.0,45.16,185.0,42.14,47.65,0.0,44.96,43.42
S Molineux,Australia,150,54,17.65,102.76,22.17,6.58,137.0,1377.0,12.0,81.36,17.29,3.89,31.0,96.0,24.25,53.3,24.86,2.26,7.0,97.0,17.44,175.0,11.95,19.12,0.0,5.5,19.75
LMM Tahuhu,New Zealand,205,35,12.04,117.96,23.34,6.33,140.0,578.0,12.23,100.37,25.24,4.73,68.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,208.0,12.53,11.59,9.89,11.71,13.5
HNK Jensen,New Zealand,144,25,13.49,90.85,24.68,6.6,100.0,715.0,12.35,73.01,35.77,5.05,26.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,13.14,126.0,10.93,15.74,9.88,10.6,12.31
A Gardner,Australia,302,114,23.41,122.9,21.94,7.09,215.0,4073.0,37.05,104.37,22.13,4.28,92.0,1482.0,32.5,58.04,20.61,2.66,28.0,325.0,26.25,335.0,31.07,22.15,0.0,26.73,37.13
AE Satterthwaite,New Zealand,144,69,30.75,105.65,23.11,6.42,44.0,2675.0,41.81,77.39,33.57,5.88,7.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,33.72,51.0,34.82,32.71,32.41,41.58,31.11
M Brown,Wellington,100,24,14.55,103.92,26.37,6.69,75.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.55,75.0,0.0,14.55,0.0,0.0,0.0
EA Burns,Australia,146,56,21.89,113.26,21.78,6.08,105.0,2452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.89,105.0,30.0,21.62,0.0,0.0,0.0
G Wareham,Australia,219,90,26.9,131.11,21.88,6.77,171.0,1614.0,26.0,104.84,28.28,4.44,47.0,260.0,2.0,18.18,40.0,3.64,1.0,2.0,26.42,219.0,20.12,30.07,0.0,14.83,27.8
AC Jayangani,Sri Lanka,266,80,29.51,111.03,22.47,6.68,139.0,5606.0,42.3,83.63,38.53,5.3,34.0,1946.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,173.0,36.66,27.1,44.75,33.59,21.07
SJ McGlashan,Sydney Sixers,27,9,15.47,101.73,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.47,0.0,0.0,15.47,0.0,0.0,0.0
D van Niekerk,South Africa,151,47,25.61,103.09,23.26,6.52,97.0,2433.0,58.09,74.48,27.83,3.23,18.0,639.0,0.0,0.0,0.0,0.0,0.0,0.0,28.98,115.0,41.65,23.0,12.0,32.0,51.0
M Kapp,South Africa,318,51,24.93,114.13,21.01,5.9,241.0,3490.0,47.59,90.62,24.46,4.06,91.0,1951.0,75.2,63.09,63.0,1.93,1.0,376.0,31.27,333.0,37.23,25.69,29.11,36.76,41.53
AR Reakes,Sydney Sixers,36,12,16.6,95.62,0.0,11.38,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,16.6,0.0,0.0,0.0
JE Duffin,Melbourne Renegades,49,23,30.66,113.88,0.0,0.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66,0.0,0.0,30.66,0.0,0.0,0.0
SE Aley,Sydney Sixers,35,7,9.0,80.0,25.15,7.05,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,0.0,9.0,0.0,0.0,0.0
EJ Inglis,Melbourne Stars,20,10,7.5,79.88,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,7.5,0.0,0.0,0.0
CJ Koski,Melbourne Renegades,22,6,15.73,97.12,0.0,10.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.73,0.0,0.0,15.73,0.0,0.0,0.0
LG Smith,Sydney Sixers,88,28,17.05,89.74,22.22,6.62,65.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.05,65.0,0.0,17.05,0.0,0.0,0.0
KJ Garth,Ireland,165,36,20.54,92.92,24.58,6.61,119.0,945.0,22.0,68.22,21.19,4.1,42.0,176.0,34.33,50.49,35.25,3.06,8.0,103.0,21.47,169.0,24.48,18.77,24.0,21.0,10.67
SW Bates,New Zealand,341,217,31.06,105.6,29.54,7.38,59.0,7393.0,35.45,75.38,43.12,5.19,8.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,31.89,67.0,33.3,30.76,19.64,32.0,18.06
EA Osborne,Melbourne Stars,53,10,22.72,97.63,30.92,6.64,36.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72,36.0,0.0,22.72,0.0,0.0,0.0
TT Beaumont,England,319,87,27.8,101.8,0.0,0.0,0.0,5533.0,42.09,76.14,0.0,0.0,0.0,3367.0,40.0,51.45,0.0,0.0,0.0,480.0,32.23,0.0,37.03,27.47,35.2,23.94,0.0
E Kearney,Melbourne Stars,5,0,9.0,75.0,131.0,8.36,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,0.0,0.0
SFM Devine,New Zealand,352,110,34.5,125.12,22.27,6.97,232.0,8039.0,40.68,88.09,35.21,4.84,53.0,2441.0,0.0,0.0,0.0,0.0,0.0,0.0,35.77,285.0,35.35,36.1,24.27,31.06,31.2
GA Elwiss,England,180,44,31.4,87.32,29.82,5.95,100.0,3485.0,19.75,59.4,35.25,4.45,8.0,79.0,14.0,28.0,0.0,3.27,0.0,14.0,30.84,108.0,19.6,31.35,14.0,13.75,0.0
A King,Australia,222,59,13.56,103.76,19.41,6.59,200.0,800.0,19.14,93.38,19.53,4.39,72.0,268.0,8.83,35.33,26.77,2.7,13.0,53.0,14.19,285.0,15.86,13.54,0.0,18.5,13.14
M Blows,Melbourne Stars,18,1,8.75,94.59,35.0,7.47,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,8.0,0.0,8.75,0.0,0.0,0.0
GL Triscari,Melbourne Stars,2,0,0.0,0.0,31.0,9.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
L Lee,South Africa,219,77,29.89,124.52,0.0,6.5,0.0,4783.0,50.52,79.29,0.0,5.0,0.0,1566.0,18.0,60.0,0.0,0.0,0.0,36.0,33.08,0.0,38.34,30.02,23.0,41.39,36.1
BE Patterson,Adelaide Strikers,94,58,20.94,105.47,0.0,0.0,0.0,1466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.94,0.0,0.0,20.94,0.0,0.0,0.0
ML Schutt,Australia,282,36,10.77,111.55,19.73,6.49,267.0,280.0,5.2,48.15,24.8,4.18,80.0,26.0,0.0,0.0,0.0,0.98,0.0,0.0,9.87,347.0,4.78,11.95,0.0,3.33,13.0
TM McGrath,Australia,244,91,27.17,115.51,28.69,7.52,98.0,3858.0,30.63,89.02,32.07,5.32,27.0,827.0,34.56,53.25,27.38,2.81,8.0,311.0,28.07,133.0,37.33,23.24,0.0,43.05,34.31
M du Preez,South Africa,215,57,27.15,114.93,0.0,6.92,0.0,3856.0,37.46,74.18,22.0,7.33,1.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,28.75,1.0,28.55,28.85,7.0,34.44,19.6
T Saville,Adelaide Strikers,25,10,13.82,99.58,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,13.82,0.0,0.0,0.0
A Lanning,Melbourne Stars,16,7,15.82,94.57,0.0,6.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82,0.0,0.0,15.82,0.0,0.0,0.0
A Wellington,Australia,243,70,20.68,126.95,19.94,6.17,289.0,2068.0,1.0,33.33,12.88,4.23,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49,297.0,1.0,20.68,0.0,0.0,0.0
A Price,Adelaide Strikers,24,9,14.25,100.0,26.23,6.75,13.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,13.0,0.0,14.25,0.0,0.0,0.0
KM Mack,Lancashire,133,45,26.9,98.02,0.0,0.0,0.0,3067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.0,26.9,0.0,0.0,0.0
N Faltum,Melbourne Stars,62,42,13.35,97.8,0.0,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.35,0.0,0.0,13.35,0.0,0.0,0.0
KL Britt,Melbourne Renegades,3,3,9.33,80.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33,0.0,0.0,9.33,0.0,0.0,0.0
HK Matthews,West Indies,313,100,30.15,111.68,18.89,6.52,284.0,6542.0,40.29,80.03,25.18,4.38,90.0,2256.0,0.0,0.0,0.0,0.0,0.0,0.0,32.23,374.0,36.42,28.3,51.25,29.71,23.6
SJ Johnson,Trent Rockets,104,12,13.9,112.22,21.55,7.1,114.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,114.0,0.0,13.9,0.0,0.0,0.0
S Daffara,Hobart Hurricanes,22,3,13.1,94.18,0.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,13.1,0.0,0.0,0.0
JL Jonassen,Australia,252,62,23.96,119.98,19.02,6.8,265.0,2516.0,22.89,80.47,15.06,3.74,69.0,206.0,16.29,45.06,46.5,3.05,4.0,114.0,23.44,338.0,14.52,25.76,0.0,5.86,19.0
G Redmayne,Warriors (FairBreak),135,74,28.99,103.54,0.0,0.0,0.0,3131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.99,0.0,0.0,28.99,0.0,0.0,0.0
DJS Dottin,West Indies,207,62,29.47,118.22,27.16,7.05,105.0,3919.0,35.94,79.51,27.58,4.79,24.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,30.69,129.0,33.15,29.07,16.0,23.14,37.25
DM Kimmince,Australia,95,28,16.4,107.33,23.92,6.91,89.0,410.0,37.0,71.15,13.71,3.95,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,17.88,96.0,29.0,16.91,0.0,5.0,48.0
HL Ferling,Perth Scorchers,49,14,11.6,120.83,35.28,7.52,25.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,25.0,0.0,11.6,0.0,0.0,0.0
JL Barsby,Perth Scorchers,89,28,10.47,97.07,23.89,6.79,61.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47,61.0,0.0,10.47,0.0,0.0,0.0
L Winfield,England,48,25,20.41,102.67,0.0,0.0,0.0,653.0,29.75,75.8,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,21.44,0.0,22.25,21.04,25.0,18.25,0.0
H Birkett,Brisbane Heat,19,7,16.0,96.97,30.2,6.61,10.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,16.0,0.0,0.0,0.0
V Pyke,Hobart Hurricanes,17,2,7.55,94.32,41.89,7.18,9.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55,9.0,0.0,7.55,0.0,0.0,0.0
V Krishnamurthy,India,48,39,19.21,104.5,34.0,10.2,1.0,557.0,28.2,89.24,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53,1.0,21.88,17.3,14.4,0.0,6.43
BL Mooney,Australia,324,169,43.04,124.12,0.0,0.0,0.0,8393.0,52.02,90.84,0.0,0.0,0.0,2341.0,44.33,56.24,0.0,0.0,0.0,532.0,44.71,0.0,46.05,43.31,0.0,48.81,47.62
KL Short,Brisbane Heat,30,17,19.88,96.75,0.0,15.5,0.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88,0.0,0.0,19.88,0.0,0.0,0.0
C Raack,Ireland,32,3,15.8,97.53,28.41,6.33,17.0,79.0,1.0,100.0,20.0,3.41,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,24.0,10.67,0.0,1.0,0.0
NM Hancock,Sunrisers,116,26,12.79,105.5,23.02,6.93,123.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,123.0,0.0,12.79,0.0,0.0,0.0
E Thompson,Hobart Hurricanes,6,0,13.0,97.01,13.0,6.5,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,13.0,0.0,0.0,0.0
CL Hall,Hobart Hurricanes,47,13,16.18,101.65,0.0,0.0,0.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18,0.0,0.0,16.18,0.0,0.0,0.0
L Harris,Guyana Amazon Warriors,133,43,17.83,176.67,16.38,6.44,8.0,1908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.83,8.0,0.0,17.83,0.0,0.0,0.0
SK Moloney,Melbourne Stars,74,28,10.77,97.93,23.98,7.09,43.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77,43.0,0.0,10.77,0.0,0.0,0.0
RL Haynes,Australia,141,60,28.18,108.13,0.0,0.0,0.0,2142.0,46.7,78.18,0.0,0.0,0.0,1541.0,44.5,39.29,0.0,0.0,0.0,178.0,34.17,0.0,42.18,26.57,0.0,28.22,35.69
KH Brunt,England,131,30,20.0,103.72,19.75,5.72,103.0,780.0,27.11,69.12,25.56,3.94,43.0,488.0,7.0,21.37,21.08,2.86,12.0,28.0,21.25,158.0,22.23,19.5,24.0,10.56,0.0
RH Priest,New Zealand,98,39,24.11,119.29,0.0,0.0,0.0,2146.0,21.0,95.45,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,24.08,0.0,17.12,24.76,17.0,12.0,0.0
AJ Blackwell,Sydney Thunder,32,5,31.75,109.01,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75,0.0,0.0,31.75,0.0,0.0,0.0
NE Bolton,Australia,93,25,25.0,99.85,31.43,7.09,44.0,1375.0,33.0,75.0,0.0,9.5,0.0,231.0,6.0,30.0,0.0,0.0,0.0,6.0,25.59,44.0,29.62,25.0,0.0,184.0,3.25
LK Ebsary,Perth Scorchers,15,9,24.27,105.12,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.27,0.0,0.0,24.27,0.0,0.0,0.0
SR Taylor,West Indies,190,46,34.37,97.61,22.49,6.33,84.0,2818.0,40.26,65.79,38.62,4.97,24.0,1731.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39,108.0,36.63,36.06,31.91,47.2,11.92
EL King,Perth Scorchers,24,1,12.0,63.16,28.5,6.42,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,12.0,0.0,0.0,0.0
NR Sciver,England,192,91,35.17,116.82,27.16,6.8,100.0,3376.0,48.17,88.07,36.5,4.48,32.0,1734.0,93.0,59.62,24.11,2.59,9.0,372.0,40.31,141.0,41.44,38.43,45.44,41.0,0.0
H Graham,Australia,157,59,18.74,107.31,20.11,7.19,187.0,1893.0,4.0,80.0,30.0,3.75,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78,188.0,4.0,18.74,0.0,0.0,0.0
TMM Newton,New Zealand,59,24,14.14,82.05,22.62,6.68,13.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.14,13.0,16.0,14.1,0.0,0.0,16.0
P Cleary,Thunder,82,22,13.43,73.75,29.41,6.75,66.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.43,66.0,0.0,13.43,0.0,0.0,0.0
H Kaur,India,285,126,34.94,117.76,25.05,7.21,42.0,5311.0,38.7,82.87,62.4,5.14,10.0,2322.0,34.8,56.13,29.67,3.3,3.0,174.0,35.98,55.0,34.95,37.88,27.59,0.0,32.72
NE Stalenberg,Hobart Hurricanes,83,32,17.78,98.51,0.0,12.0,0.0,1191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.78,0.0,0.0,17.78,0.0,0.0,0.0
EJ Villani,Australia,133,51,31.38,110.76,0.0,5.25,0.0,3295.0,9.0,64.29,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,30.96,0.0,25.33,31.67,0.0,35.33,19.0
RM Farrell,Sydney Thunder,27,1,15.67,129.36,23.34,7.03,32.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.67,32.0,0.0,15.67,0.0,0.0,0.0
SL Bates,Sydney Thunder,100,17,4.57,48.48,23.59,6.28,99.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,99.0,0.0,4.57,0.0,0.0,0.0
NJ Carey,Australia,166,67,25.29,110.19,24.36,7.41,138.0,2023.0,27.2,93.79,31.94,4.07,16.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,154.0,24.5,25.49,0.0,31.33,3.0
L Griffith,Perth Scorchers,40,7,12.0,101.41,36.62,7.63,16.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,12.0,0.0,0.0,0.0
ML Gibson,Melbourne Stars,62,17,12.0,83.92,23.2,7.05,54.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,54.0,0.0,12.0,0.0,0.0,0.0
KM Beams,Melbourne Stars,19,6,12.0,109.09,28.67,6.12,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0
A Sutherland,Australia,232,120,20.33,111.67,22.87,6.97,174.0,2277.0,40.88,90.83,22.23,4.64,60.0,981.0,83.71,61.88,30.54,3.4,13.0,586.0,26.88,247.0,37.4,21.73,0.0,20.53,40.47
TJ McPharlin,Adelaide Strikers,33,41,20.11,112.77,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.11,0.0,0.0,20.11,0.0,0.0,0.0
C Piparo,Perth Scorchers,74,34,19.29,101.69,0.0,7.71,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29,0.0,25.0,18.85,0.0,0.0,0.0
EJ Smith,Perth Scorchers,5,2,11.0,81.48,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0
B Vakarewa,Hobart Hurricanes,60,19,9.0,90.0,28.15,6.24,46.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,46.0,0.0,9.0,0.0,0.0,0.0
EG Fazackerley,Hobart Hurricanes,33,19,15.5,124.33,44.25,7.7,4.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,4.0,0.0,15.5,0.0,0.0,0.0
IMHC Joyce,Ireland,17,8,20.0,90.91,48.83,6.17,6.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,21.75,15.33,1.0,33.0,0.0
B Hepburn,Hobart Hurricanes,28,5,4.7,62.67,30.77,7.62,22.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,22.0,0.0,4.7,0.0,0.0,0.0
GM Harris,Australia,189,92,29.14,133.21,24.46,7.36,78.0,4284.0,1.0,50.0,20.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,79.0,28.62,28.99,0.0,31.43,23.5
K Fryett,Hobart Hurricanes,5,0,5.0,250.0,28.67,8.32,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,0.0,0.0,0.0
M Banting,Perth Scorchers,11,1,6.11,79.71,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,0.0,0.0,6.11,0.0,0.0,0.0
FC Wilson,England,173,64,25.94,95.98,0.0,0.0,0.0,3294.0,26.67,90.91,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,25.97,0.0,22.28,26.55,17.67,16.67,0.0
KJ Martin,New Zealand,110,74,24.38,111.01,0.0,0.0,0.0,1341.0,19.93,70.66,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,22.85,0.0,23.83,21.16,20.06,29.75,15.19
SJ Coyte,Adelaide Strikers,100,29,14.24,119.6,23.34,7.07,98.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.24,98.0,0.0,14.24,0.0,0.0,0.0
K Pope,Adelaide Strikers,4,0,8.0,160.0,0.0,6.49,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
M Phillips,Hobart Hurricanes,14,6,8.71,67.78,21.29,7.61,14.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,14.0,0.0,8.71,0.0,0.0,0.0
AE Jones,England,325,214,27.19,116.65,0.0,0.0,0.0,5248.0,38.66,85.55,0.0,0.0,0.0,2474.0,14.46,47.84,0.0,0.0,0.0,188.0,29.3,0.0,29.23,29.37,14.85,19.78,0.0
PG Raut,India,21,7,0.0,0.0,0.0,0.0,0.0,0.0,41.94,59.52,0.0,0.0,0.0,713.0,39.33,32.51,0.0,0.0,0.0,118.0,41.55,0.0,41.55,0.0,47.0,0.0,32.2
A Khaka,South Africa,153,19,9.2,56.1,28.97,6.47,65.0,46.0,6.53,46.45,26.78,4.4,94.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,159.0,7.33,6.0,1.5,5.5,3.5
S Mandhana,India,319,115,31.55,128.1,0.0,13.5,0.0,6656.0,54.83,91.42,48.0,7.78,1.0,4167.0,68.5,68.41,0.0,4.0,0.0,548.0,38.55,1.0,43.61,29.38,41.83,0.0,43.07
M Klaas,South Africa,108,14,4.29,73.17,33.54,7.56,35.0,30.0,6.47,41.63,31.0,4.98,65.0,97.0,7.5,20.83,57.33,4.53,3.0,15.0,5.92,103.0,5.92,0.0,10.0,3.5,1.4
T Chetty,South Africa,28,46,9.0,75.0,0.0,0.0,0.0,36.0,16.11,68.24,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,14.82,0.0,14.82,0.0,0.0,13.6,14.0
M Raj,India,71,20,35.14,93.77,0.0,0.0,0.0,738.0,53.41,64.01,0.0,0.0,0.0,1549.0,12.0,35.29,0.0,0.0,0.0,36.0,43.83,0.0,46.33,19.8,31.14,0.0,45.91
R Ntozakhe,South Africa,25,3,0.0,0.0,110.5,8.5,2.0,0.0,2.67,36.36,28.87,3.72,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,17.0,2.67,0.0,0.0,0.0,3.0
S Luus,South Africa,205,71,25.06,104.7,38.28,7.35,32.0,1804.0,26.61,67.06,32.08,4.65,39.0,1836.0,37.38,42.96,0.0,3.9,0.0,299.0,26.44,71.0,27.24,22.65,16.23,26.04,14.45
J Goswami,India,53,13,7.5,78.95,29.7,6.46,10.0,15.0,20.27,74.83,23.96,3.93,55.0,223.0,8.0,100.0,25.25,2.05,4.0,8.0,17.57,69.0,18.85,1.0,63.0,0.0,13.17
L Wolvaardt,South Africa,315,105,32.74,113.78,0.0,0.0,0.0,5696.0,53.58,76.19,0.0,0.0,0.0,4233.0,31.88,40.67,0.0,0.0,0.0,255.0,39.02,0.0,45.85,30.87,32.67,43.67,39.88
S Pandey,India,123,27,17.68,97.16,26.16,6.52,93.0,548.0,19.12,81.38,26.12,4.27,26.0,153.0,9.0,32.14,0.0,4.13,0.0,18.0,17.54,119.0,14.94,19.2,6.8,0.0,17.4
S Verma,India,15,10,29.25,87.31,0.0,0.0,0.0,117.0,13.5,54.36,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0,13.5,29.25,24.5,0.0,0.0
RS Gayakwad,India,104,21,11.0,47.83,23.4,6.88,68.0,22.0,1.6,26.67,26.75,3.94,44.0,8.0,0.0,0.0,49.83,2.47,6.0,0.0,3.75,118.0,2.14,15.0,5.0,0.0,0.5
MR Meshram,India,6,4,50.0,75.76,0.0,0.0,0.0,50.0,3.67,35.48,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,14.25,4.0,0.0,0.0,0.0
